[0.6084165  0.03450441],[1.203903   0.23807764],[1.7861018 0.6204629],[2.3427243 1.1493917],[2.9528334 1.741168 ],[3.5950768 2.3562841],[4.228523  2.9163122],[4.8985195 3.4691067],,
[1.0773327 0.1308713],[2.2146966  0.49645185],[3.3703823 1.0902596],[4.4819875 1.8158808],[5.540078  2.6108742],[6.5370665 3.4412527],[7.495977 4.286261],[8.429282 5.111053],,
[0.8150561  0.12837124],[1.6798663  0.58185816],[2.5804734 1.3419886],[3.4864705 2.2409315],[4.3910933 3.1606202],[5.3177147 4.0946   ],[6.2743015 4.9828067],[7.248195  5.8225446],,
[0.7821253  0.10010719],[1.5657057 0.460814 ],[2.4005024 1.0985298],[3.2753682 1.9116759],[4.246782  2.6989183],[5.3007965 3.4382024],[6.4121394 4.1042557],[7.532048 4.725704],,
[1.037359   0.15418339],[2.0557535  0.57728434],[3.056625  1.2428293],[4.0290365 2.0099773],[4.9481335 2.814849 ],[5.79734   3.7288437],[6.6293273 4.727207 ],[7.43106   5.7342525],,
[0.60130304 0.08896923],[1.2848648 0.5499449],[2.0394232 1.4444838],[2.7208965 2.6003885],[3.3880482 3.8167892],[4.064537  5.0804586],[4.8048964 6.2997227],[5.5711575 7.4569063],,
[0.8435016  0.05632257],[1.690682  0.3171692],[2.5307312 0.7962055],[3.226217  1.4136682],[3.7731757 2.0738502],[4.236574  2.8947792],[4.690588  3.7589273],[5.199251  4.6364255],,
[0.58490205 0.07786131],[1.0352117 0.251678 ],[1.4222306 0.6713991],[1.7404191 1.3819809],[1.9187255 2.3084326],[1.8611504 3.39437  ],[1.627259  4.4461517],[1.3287287 5.3781295],,
[0.9090121  0.09166336],[1.9452736 0.3313098],[2.9989507  0.68254185],[4.0141363 1.1430817],[5.0105386 1.7210169],[6.000817  2.3896694],[6.97724   3.1182485],[7.91893   3.8731089],,
[0.64599717 0.09004164],[1.2570364 0.4770217],[1.933323 1.213757],[2.683453  2.1535907],[3.4802377 3.0833979],[4.319259  3.9457622],[5.1898923 4.6814933],[6.12552  5.334786],,
[0.77423626 0.12282658],[1.6229532 0.5603337],[2.4045534 1.3735676],[3.0548809 2.4077473],[3.563121 3.564248],[3.976137  4.7638035],[4.3179665 5.9961476],[4.6308856 7.199115 ],,
[0.91885155 0.11649609],[1.8107326 0.5460019],[2.78631   1.3377986],[3.7744505 2.2687054],[4.757023  3.2090855],[5.73579  4.154769],[6.7121563 5.06193  ],[7.723069  5.9390726],,
[1.1142983  0.08012724],[2.3209877  0.20836973],[3.5129945  0.37493134],[4.6548605  0.65503645],[5.7130184 1.0153909],[6.6404834 1.430954 ],[7.4528284 1.9160419],[8.184377 2.473566],,
[0.42424574 0.03603792],[0.8415466  0.33850288],[1.2827144 1.0328164],[1.7008214 2.0423732],[2.0856    3.1741152],[2.4921675 4.3504243],[2.9988449 5.4589   ],[3.6165931 6.50776  ],,
[0.8062446 0.1073494],[1.6351705 0.4549408],[2.5631998 1.027914 ],[3.5661194 1.671207 ],[4.6011868 2.2209086],[5.676584 2.604549],[6.771529 2.763884],[7.838863 2.735338],,
